sub,test,pair,old4,old3,old2,old1,new4,new3,new2,new1
1,aud,none,16,0,0,20,38,0,0,70
1,aud,familiar,18,0,0,18,.,.,.,.
1,aud,unfamiliar,12,0,0,24,.,.,.,.
1,img,none,20,0,0,16,13,0,0,95
1,img,familiar,12,0,0,24,.,.,.,.
1,img,unfamiliar,13,0,0,23,.,.,.,.
2,aud,none,4,19,12,1,0,38,60,10
2,aud,familiar,5,19,12,0,.,.,.,.
2,aud,unfamiliar,7,15,12,2,.,.,.,.
2,img,none,20,9,7,0,8,19,66,15
2,img,familiar,17,14,5,0,.,.,.,.
2,img,unfamiliar,18,6,12,0,.,.,.,.
3,aud,none,9,14,9,4,7,32,38,31
3,aud,familiar,8,15,11,2,.,.,.,.
3,aud,unfamiliar,8,13,11,4,.,.,.,.
3,img,none,22,10,4,0,2,10,53,43
3,img,familiar,16,8,11,1,.,.,.,.
3,img,unfamiliar,17,6,12,1,.,.,.,.
4,aud,none,18,7,10,1,19,15,41,33
4,aud,familiar,17,8,7,4,.,.,.,.
4,aud,unfamiliar,18,8,8,2,.,.,.,.
4,img,none,22,2,10,2,6,15,65,22
4,img,familiar,24,5,6,1,.,.,.,.
4,img,unfamiliar,27,1,6,2,.,.,.,.
6,aud,none,17,2,3,14,24,22,10,52
6,aud,familiar,16,6,2,12,.,.,.,.
6,aud,unfamiliar,14,9,3,10,.,.,.,.
6,img,none,27,2,1,6,13,17,23,55
6,img,familiar,25,6,3,2,.,.,.,.
6,img,unfamiliar,26,3,2,5,.,.,.,.
7,aud,none,3,13,12,8,2,21,53,32
7,aud,familiar,5,14,9,8,.,.,.,.
7,aud,unfamiliar,3,9,14,10,.,.,.,.
7,img,none,16,10,6,4,6,15,58,29
7,img,familiar,14,9,11,2,.,.,.,.
7,img,unfamiliar,12,7,15,2,.,.,.,.
8,aud,none,3,10,21,2,0,16,80,12
8,aud,familiar,3,13,16,4,.,.,.,.
8,aud,unfamiliar,1,14,19,2,.,.,.,.
8,img,none,22,8,6,0,1,7,91,9
8,img,familiar,21,4,11,0,.,.,.,.
8,img,unfamiliar,23,4,9,0,.,.,.,.
9,aud,none,5,16,14,1,0,13,65,30
9,aud,familiar,3,19,13,1,.,.,.,.
9,aud,unfamiliar,5,11,18,2,.,.,.,.
9,img,none,21,10,3,2,1,5,71,31
9,img,familiar,16,16,4,0,.,.,.,.
9,img,unfamiliar,17,12,5,2,.,.,.,.
10,aud,none,11,12,7,6,9,22,53,24
10,aud,familiar,12,14,7,3,.,.,.,.
10,aud,unfamiliar,9,12,8,7,.,.,.,.
10,img,none,20,7,7,2,6,29,50,23
10,img,familiar,18,10,5,3,.,.,.,.
10,img,unfamiliar,24,7,4,1,.,.,.,.
11,aud,none,14,13,4,5,6,15,36,51
11,aud,familiar,10,8,6,12,.,.,.,.
11,aud,unfamiliar,7,6,11,12,.,.,.,.
11,img,none,26,2,5,3,2,5,27,74
11,img,familiar,22,3,6,5,.,.,.,.
11,img,unfamiliar,25,3,3,5,.,.,.,.
12,aud,none,7,16,12,1,6,33,53,16
12,aud,familiar,7,20,8,1,.,.,.,.
12,aud,unfamiliar,9,12,14,1,.,.,.,.
12,img,none,22,12,2,0,6,25,43,34
12,img,familiar,21,11,3,1,.,.,.,.
12,img,unfamiliar,27,6,3,0,.,.,.,.
13,aud,none,12,6,16,2,7,26,55,20
13,aud,familiar,13,12,9,2,.,.,.,.
13,aud,unfamiliar,12,11,12,1,.,.,.,.
13,img,none,14,9,8,5,5,14,39,50
13,img,familiar,20,3,11,2,.,.,.,.
13,img,unfamiliar,20,6,8,2,.,.,.,.
14,aud,none,11,15,8,2,5,16,61,26
14,aud,familiar,14,12,8,2,.,.,.,.
14,aud,unfamiliar,10,13,12,1,.,.,.,.
14,img,none,23,6,5,2,4,6,37,61
14,img,familiar,25,2,9,0,.,.,.,.
14,img,unfamiliar,21,8,5,2,.,.,.,.
15,aud,none,2,15,19,0,3,32,72,1
15,aud,familiar,3,19,14,0,.,.,.,.
15,aud,unfamiliar,3,19,14,0,.,.,.,.
15,img,none,5,9,22,0,1,12,95,0
15,img,familiar,10,11,15,0,.,.,.,.
15,img,unfamiliar,7,8,21,0,.,.,.,.
17,aud,none,1,17,18,0,0,23,84,1
17,aud,familiar,0,28,8,0,.,.,.,.
17,aud,unfamiliar,1,19,16,0,.,.,.,.
17,img,none,26,5,5,0,2,9,79,18
17,img,familiar,23,9,4,0,.,.,.,.
17,img,unfamiliar,23,9,4,0,.,.,.,.
18,aud,none,14,10,9,3,17,30,26,35
18,aud,familiar,14,14,5,3,.,.,.,.
18,aud,unfamiliar,18,6,9,3,.,.,.,.
18,img,none,26,6,2,2,20,23,34,31
18,img,familiar,25,7,4,0,.,.,.,.
18,img,unfamiliar,24,6,5,1,.,.,.,.
19,aud,none,13,12,4,7,15,18,23,52
19,aud,familiar,12,9,5,10,.,.,.,.
19,aud,unfamiliar,13,7,7,9,.,.,.,.
19,img,none,25,2,6,3,8,8,39,53
19,img,familiar,19,6,7,4,.,.,.,.
19,img,unfamiliar,20,3,9,4,.,.,.,.
20,aud,none,12,12,7,5,11,29,21,47
20,aud,familiar,3,17,10,6,.,.,.,.
20,aud,unfamiliar,8,12,8,8,.,.,.,.
20,img,none,14,11,1,10,2,15,26,65
20,img,familiar,13,10,3,10,.,.,.,.
20,img,unfamiliar,11,11,9,5,.,.,.,.
21,aud,none,12,10,9,5,8,22,35,43
21,aud,familiar,11,7,10,8,.,.,.,.
21,aud,unfamiliar,12,11,4,9,.,.,.,.
21,img,none,26,7,3,0,14,22,32,40
21,img,familiar,20,8,7,1,.,.,.,.
21,img,unfamiliar,19,9,4,4,.,.,.,.
22,aud,none,16,7,3,10,23,8,11,66
22,aud,familiar,17,5,1,13,.,.,.,.
22,aud,unfamiliar,19,0,3,14,.,.,.,.
22,img,none,21,3,0,12,27,5,4,72
22,img,familiar,16,1,1,18,.,.,.,.
22,img,unfamiliar,16,3,2,15,.,.,.,.
23,aud,none,9,15,12,0,1,16,74,17
23,aud,familiar,11,13,12,0,.,.,.,.
23,aud,unfamiliar,10,14,10,2,.,.,.,.
23,img,none,25,7,4,0,4,13,68,23
23,img,familiar,18,6,10,2,.,.,.,.
23,img,unfamiliar,23,7,6,0,.,.,.,.
24,aud,none,2,21,12,1,3,27,77,1
24,aud,familiar,4,22,9,1,.,.,.,.
24,aud,unfamiliar,0,18,16,2,.,.,.,.
24,img,none,22,7,6,1,1,17,74,16
24,img,familiar,16,11,9,0,.,.,.,.
24,img,unfamiliar,16,12,8,0,.,.,.,.
