sub,test,pair,c,d,ht,ms,cr,fa,oTrls,nTrls,mdRtO,mdRtN,mnRtO,mnRtN
1,aud,none,0.26,0.241,16,20,70,38,36,108,0.66,0.683,0.779,0.944
1,aud,familiar,0.19,0.38,18,18,70,38,36,108,0.703,0.683,0.852,0.944
1,aud,unfamiliar,0.406,-0.05,12,24,70,38,36,108,0.653,0.683,0.773,0.944
1,img,none,0.517,1.313,20,16,95,13,36,108,0.832,0.706,0.908,0.844
1,img,familiar,0.802,0.742,12,24,95,13,36,108,0.749,0.706,0.839,0.844
1,img,unfamiliar,0.764,0.818,13,23,95,13,36,108,0.741,0.706,0.801,0.844
2,aud,none,0.012,0.736,23,13,70,38,36,108,1.923,1.868,2.089,2.006
2,aud,familiar,-0.025,0.811,24,12,70,38,36,108,1.99,1.868,2.304,2.006
2,aud,unfamiliar,0.049,0.663,22,14,70,38,36,108,1.939,1.868,1.989,2.006
2,img,none,-0.094,1.536,29,7,81,27,36,108,1.131,1.181,1.143,1.292
2,img,familiar,-0.205,1.76,31,5,81,27,36,108,1.111,1.181,1.249,1.292
2,img,unfamiliar,0.122,1.105,24,12,81,27,36,108,1.098,1.181,1.159,1.292
3,aud,none,0,0.711,23,13,69,39,36,108,1.803,2.038,2.018,2.151
3,aud,familiar,0,0.711,23,13,69,39,36,108,1.952,2.038,2.078,2.151
3,aud,unfamiliar,0.073,0.566,21,15,69,39,36,108,2.136,2.038,2.309,2.151
3,img,none,0,2.441,32,4,96,12,36,108,1.126,1.211,1.246,1.348
3,img,familiar,0.395,1.651,24,12,96,12,36,108,1.183,1.211,1.338,1.348
3,img,unfamiliar,0.433,1.576,23,13,96,12,36,108,1.152,1.211,1.408,1.348
4,aud,none,-0.013,0.991,25,11,74,34,36,108,1.527,1.431,1.638,1.702
4,aud,familiar,-0.013,0.991,25,11,74,34,36,108,1.254,1.431,1.519,1.702
4,aud,unfamiliar,-0.054,1.072,26,10,74,34,36,108,1.661,1.431,1.612,1.702
4,img,none,0.215,1.292,24,12,87,21,36,108,0.901,0.9,1.049,1.005
4,img,familiar,0,1.723,29,7,87,21,36,108,0.908,0.9,1.034,1.005
4,img,unfamiliar,0.048,1.626,28,8,87,21,36,108,0.907,0.9,1.164,1.005
6,aud,none,0.059,0.256,19,17,62,46,36,108,1.798,2.084,1.993,2.177
6,aud,familiar,-0.048,0.469,22,14,62,46,36,108,1.858,2.084,1.966,2.177
6,aud,unfamiliar,-0.084,0.542,23,13,62,46,36,108,1.937,2.084,2.13,2.177
6,img,none,-0.136,1.451,29,7,78,30,36,108,1.012,1.224,1.114,1.359
6,img,familiar,-0.248,1.675,31,5,78,30,36,108,1.146,1.224,1.279,1.359
6,img,unfamiliar,-0.136,1.451,29,7,78,30,36,108,1.118,1.224,1.193,1.359
7,aud,none,0.468,0.656,16,20,85,23,36,108,1.898,1.507,1.979,1.641
7,aud,familiar,0.363,0.866,19,17,85,23,36,108,1.428,1.507,1.631,1.641
7,aud,unfamiliar,0.613,0.365,12,24,85,23,36,108,1.448,1.507,1.624,1.641
7,img,none,0.136,1.451,26,10,87,21,36,108,0.93,1.022,0.978,1.131
7,img,familiar,0.253,1.217,23,13,87,21,36,108,1.133,1.022,1.147,1.131
7,img,unfamiliar,0.396,0.931,19,17,87,21,36,108,1.013,1.022,1.204,1.131
8,aud,none,0.7,0.689,13,23,92,16,36,108,1.852,1.755,1.905,1.832
8,aud,familiar,0.592,0.905,16,20,92,16,36,108,1.625,1.755,1.705,1.832
8,aud,unfamiliar,0.627,0.834,15,21,92,16,36,108,1.802,1.755,1.871,1.832
8,img,none,0.239,2.414,30,6,100,8,36,108,0.85,0.86,0.983,0.962
8,img,familiar,0.469,1.955,25,11,100,8,36,108,0.805,0.86,0.905,0.962
8,img,unfamiliar,0.386,2.121,27,9,100,8,36,108,0.902,0.86,0.942,0.962
9,aud,none,0.481,1.384,21,15,95,13,36,108,2.417,2.289,2.491,2.326
9,aud,familiar,0.445,1.455,22,14,95,13,36,108,2.273,2.289,2.182,2.326
9,aud,unfamiliar,0.656,1.033,16,20,95,13,36,108,2.288,2.289,2.286,2.326
9,img,none,0.254,2.679,31,5,102,6,36,108,0.991,1.186,1.159,1.387
9,img,familiar,0.186,2.814,32,4,102,6,36,108,1.129,1.186,1.398,1.387
9,img,unfamiliar,0.366,2.455,29,7,102,6,36,108,0.954,1.186,1.074,1.387
10,aud,none,0.103,0.918,23,13,77,31,36,108,3.045,3.553,3.27,3.659
10,aud,familiar,-0.014,1.152,26,10,77,31,36,108,3.38,3.553,3.506,3.659
10,aud,unfamiliar,0.176,0.772,21,15,77,31,36,108,3.385,3.553,3.342,3.659
10,img,none,-0.109,1.131,27,9,73,35,36,108,1.731,2.295,1.797,2.404
10,img,familiar,-0.154,1.221,28,8,73,35,36,108,1.878,2.295,1.895,2.404
10,img,unfamiliar,-0.314,1.542,31,5,73,35,36,108,1.31,2.295,1.618,2.404
11,aud,none,0.094,1.536,27,9,87,21,36,108,2.302,2.301,2.361,2.314
11,aud,familiar,0.431,0.862,18,18,87,21,36,108,2.085,2.301,2.02,2.314
11,aud,unfamiliar,0.609,0.506,13,23,87,21,36,108,2.329,2.301,2.568,2.314
11,img,none,0.375,2.28,28,8,101,7,36,108,1.081,0.972,1.218,1.146
11,img,familiar,0.504,2.024,25,11,101,7,36,108,1.076,0.972,1.299,1.146
11,img,unfamiliar,0.375,2.28,28,8,101,7,36,108,0.993,0.972,1.171,1.146
12,aud,none,0,0.711,23,13,69,39,36,108,2.36,2.313,2.189,2.276
12,aud,familiar,-0.159,1.03,27,9,69,39,36,108,2.267,2.313,2.378,2.276
12,aud,unfamiliar,0.073,0.566,21,15,69,39,36,108,2.222,2.313,2.129,2.276
12,img,none,-0.516,2.155,34,2,77,31,36,108,0.941,1.09,1.02,1.208
12,img,familiar,-0.329,1.783,32,4,77,31,36,108,1.006,1.09,1.018,1.208
12,img,unfamiliar,-0.41,1.945,33,3,77,31,36,108,0.905,1.09,1.109,1.208
13,aud,none,0.254,0.508,18,18,75,33,36,108,2.062,1.978,2.055,2.019
13,aud,familiar,0,1.017,25,11,75,33,36,108,1.882,1.978,1.88,2.019
13,aud,unfamiliar,0.076,0.864,23,13,75,33,36,108,1.907,1.978,1.945,2.019
13,img,none,0.288,1.286,23,13,89,19,36,108,0.97,1.01,1.109,1.127
13,img,familiar,0.288,1.286,23,13,89,19,36,108,1.019,1.01,1.068,1.127
