sub,comp,date-time,taskTime,evType,evCnt,blk,blkTrl,expTrl,testType,pair,img,aud,ans,button,conf,resp,acc,rt
60,mbm-2022f.psych.ucsb.edu,16-Apr-2024 16:05:39,0.061958,misc,1,.,.,.,.,.,.,.,.,.,.,.,.,.
60,.,16-Apr-2024 16:05:53,14.056228,misc,2,.,.,.,AGE:26,SEX:male,RACE:Hispanic,INITIALS:ER,.,.,.,.,.,.
60,.,16-Apr-2024 16:07:45,126.325866,study,3,1,1,1,aud,none,NaN,205.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:07:48,129.363196,study,4,1,2,2,aud,none,NaN,139.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:07:51,132.400622,study,5,1,3,3,img,familiar,Allison_Samson_13_oval.jpg,Gangnam Style.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:07:55,135.438301,study,6,1,4,4,aud,none,NaN,23.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:07:58,138.486012,study,7,1,5,5,aud,none,NaN,127.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:01,141.526957,study,8,1,6,6,aud+img,unfamiliar,Ann_Mullen_3_oval.jpg,15.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:04,144.565145,study,9,1,7,7,aud,none,NaN,113.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:07,147.587563,study,10,1,8,8,img,none,Arlene_mcelroy_1_oval.jpg,NaN,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:10,150.630558,study,11,1,9,9,aud,familiar,george washington.jpg,40.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:13,153.668656,study,12,1,10,10,img,familiar,Adam_Cauthen_11_oval.jpg,Toccata and fugue in D minor.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:16,156.705229,study,13,1,11,11,aud+img,unfamiliar,Ada_Riddick_15_oval.jpg,188.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:19,159.739833,study,14,1,12,12,aud+img,unfamiliar,Annie_Bivens_7_oval.jpg,133.m4a,.,.,.,.,.,.
60,.,16-Apr-2024 16:08:22,162.756387,study,15,1,13,13,img,none,Annie_Bivens_3_oval.jpg,NaN,.,.,.,.,.,.
